{'date': '01/11/2023', 'time': '06:00 AM'}
{'date': '14/12/2023', 'time': '06:30 AM'}
{'date': '21/11/2023', 'time': '07:00 AM'}
{'date': '27/11/2023', 'time': '07:30 AM'}
{'date': '30/10/2023', 'time': '08:00 AM'}
{'date': '18/11/2023', 'time': '08:30 AM'}
{'date': '07/11/2023', 'time': '09:00 AM'}
{'date': '12/12/2023', 'time': '09:30 AM'}
{'date': '29/11/2023', 'time': '10:00 AM'}
{'date': '27/10/2023', 'time': '10:30 AM'}
{'date': '07/11/2023', 'time': '11:00 AM'}
{'date': '28/10/2023', 'time': '11:30 AM'}
{'date': '21/11/2023', 'time': '12:00 PM'}
{'date': '26/11/2023', 'time': '12:30 PM'}
{'date': '18/10/2023', 'time': '01:00 PM'}
{'date': '14/11/2023', 'time': '01:30 PM'}
{'date': '03/11/2023', 'time': '02:00 PM'}
{'date': '15/12/2023', 'time': '02:30 PM'}
{'date': '17/10/2023', 'time': '03:00 PM'}
{'date': '09/11/2023', 'time': '03:30 PM'}
{'date': '06/11/2023', 'time': '04:00 PM'}
{'date': '06/12/2023', 'time': '04:30 PM'}
{'date': '02/11/2023', 'time': '05:00 PM'}
{'date': '22/11/2023', 'time': '05:30 PM'}
{'date': '27/11/2023', 'time': '06:00 PM'}
{'date': '10/12/2023', 'time': '06:30 PM'}
{'date': '21/11/2023', 'time': '07:00 PM'}
{'date': '10/11/2023', 'time': '07:30 PM'}
{'date': '14/12/2023', 'time': '08:00 PM'}
{'date': '08/11/2023', 'time': '08:30 PM'}
